ref,text,modern_text
6382,Шик-пик — і нема нічого.,Шик-пик — і нема нічого.
6548,Годяще — на віник та на смітник.,Годяще — на віник та на смітник.
,"Як мать собаці млинці пекти, як він і тістом поїсть.","Як мати собаці млинці пекти, так він і тістом поїсть."
6602,Витришків ловить.,Витрішків ловить.
667,"Так гарно, як Насті в постоля!","Так гарно, як Насті в постоли!"
6764,Щоб над тобою ворони кракали.,Щоб над тобою ворони кракали.
6857,"За царя Панька, як була земля тонка.","За царя Панька, як була земля тонка."
,"За царя Хмеля, як була людей жменя.","За царя Хмеля, як була людей жменя."
7057,"Що змолотив, то й ззів.","Що змолотив, то й з'їв."
7523,"Нема над рибу линину, над м'ясо свинину.","Нема над рибу линину, над м'ясо свинину."
,Купа й гора і три оберемки.,Купа й гора і три оберемки.
7751,"Побіг по синьому шляху, по синій стежечці.","Побіг по синьому шляху, по синій стежечці."
7896,"Мабуть щось велике в лісі здохло!.. чи не заєць, або миша?","Мабуть щось велике в лісі здохло!.. чи не заєць, або миша?"
7931,Рівні ягня проти коня.,Рівні ягня проти коня.
8103,"Дві гуски і дві баби; два Жиди і дві жаби — то кажуть, що гірше ярмарку.","Дві гуски і дві баби; два Жиди і дві жаби — то кажуть, що гірше ярмарку."
8625,"Випросталась, як семисотна верства.","Випросталась, як семисотна верства."
8796,Як сняться кислиці — плакатиме.,Як сняться кислиці — плакатиме.
9185,Першіх кошенят не хвалять.,Перших кошенят не хвалять.
3176,Бій дрібніше — більше буде!,Бий дрібніше — більше буде!
3153,"Вирвався, як з конопель.","Вирвався, як з конопель."
3237,Й водою не замутить.,Й водою не замутить.
3667,Щоб тебе вихрами та бурами знесло.,Щоб тебе вихрами та бурами знесло.
3690,Щоб тебе кат не минув.,Щоб тебе кат не минув.
3705,Щоб на тобі сорочка трислась.,Щоб на тобі сорочка тряслась.
3738,"Щоб ти лопнув, щоб ти тріснув, щоб ти лунів нагнав.","Щоб ти лопнув, щоб ти тріснув, щоб ти луня нагнав."
3905,"Барана стережуть, а козлу памника дають.","Барана стережуть, а козлу памника дають."
2491,"Пишаєцця, як попівна в гостях.","Пишається, як попівна в гостях."
2578,"Нема ні в кім правди, тільки в розімнім попі та в залізній призьбі.","Нема ні в кім правди, тільки в розумному попі та в залізній призьбі."
2617,"Лоша в гузі, а вже й оброньки плетуть.","Лоша в утробі, а вже й оброньки плетуть."
2637,Упартий — треба черепком вуха різать.,Впертий — треба черепком вуха різати.
2647,"Ти йому — в вічі, а він каже «свята роса».","Ти йому — в вічі, а він каже «свята роса»."
2721,"Або вішай, або додому пускай — мені треба на ярмарок їхать.","Або вішай, або додому пускай — мені треба на ярмарок їхати."
6804,Крутячи-вертячи — світ перейде!,Крутячи-вертячи — світ перейде!
3310,"Сповідає, як Марко по пеклу.","Сповідає, як Марко по пеклу."
3275,"Милий мій покою, і я з тобою.","Милий мій покою, і я з тобою."
6850,Не приходицця Цигана дядьком звать.,Не приходиться Цигана дядьком звати.
,"У мужика чорт сидить в грудях, у Ляха в ухах, а у Жида то в п'ятах.","У мужика чорт сидить в грудях, у Ляха в ухах, а у Жида то в п'ятах."
1043,"Така честь, як собаці в ярмарок.","Така честь, як собаці в ярмарок."
1089,"Чорез силу й кінь не повезе, через міру й свиня не ззість.","Через силу й кінь не повезе, через міру й свиня не з'їсть."
1117,"Мовчанка не пуше, та живота не руше.","Мовчанка не пуше, та живота не руше."
5027,"Сим, Боже, й карай!","Цим, Боже, й карай!"
5093,"Накасавсь, як голий на вулицю.","Нарядився, як голий на вулицю."
1020,Ситник коробейнику не товариш.,Ситник коробейнику не товариш.
1046,Нехай тебе задні візьмуть.,Нехай тебе задні візьмуть.
1074,"Не хоче курка на вечорниці, та несуть.","Не хоче курка на вечорниці, та несуть."
9483,"Хоч би ти мене побив, я б тобе не пізнав.","Хоч би ти мене побив, я б тебе не пізнав."
9297,"Бий та й дрібно, щоб знали чий син.","Бий та й дрібно, щоб знали чий син."
9753,"Що кому тробить, той тео и торебить.","Що кому треба, той те й робить."
9956,Із пучок та ручок живе.,Із пучок та ручок живе.
10320,На бурку жить погано.,На бурку жить погано.
10346,Ище не всіх чортів висліпили -- ідемо сліпить.,Ще не всіх чортів висліпили -- ідемо сліпить.
10384,"Чий хліб іси, тому й гній (кал) оси.","Чий хліб їси, тому й гній (кал) носи."
10495,"Купив би, та купило притупило.","Купив би, та купило притупило."
10793,"Познавайте мою матку на місті, бо в неї хвартух у тісті.","Пізнавайте мою матку на місці, бо в неї фартух у тісті."
10820,"Пьє козак, пьє, -- бач худоба є.","П'є козак, п'є, -- бач худоба є."
11026,"Потягсь, як Тарас у лози.","Потягся, як Тарас у лози."
1,Кого Бог ніколи не побачить? (такого як сам).,Кого Бог ніколи не побачить? (такого як сам).
,Чотирі орли одно яйце знесли (апостоли й євангелиє).,Чотири орли одно яйце знесли (апостоли й євангеліє).
,"Стоїть хлівець повний овець, меже ним товстий баранець (церква).","Стоїть хлівець повний овець, між ним товстий баранець (церква)."
,"Повна піч паляниць, по середині книш (місяць та зорі).","Повна піч паляниць, по середині книш (місяць та зорі)."
,"Вийшов дід у сімдесят літ, виніс унучку постарше себе (піп чашу).","Вийшов дід у сімдесят літ, виніс унучку постарше себе (піп чашу)."
,Ревнув віл на семеро сіл (дзвін).,Ревнув віл на семеро сіл (дзвін).
,"Кахнула утка, на морі чутка -- збіглися дітки, не одної матки (дзвін).","Кахнула утка, на морі чутка -- збіглися дітки, не одної матки (дзвін)."
10,"Зійду на міст, потягну за хвіст -- корова зареве (дзвін).","Зійду на міст, потягну за хвіст -- корова зареве (дзвін)."
,"У Києві дрова рубають, а у Протасівку тріски літають (дзвін).","У Києві дрова рубають, а у Протасівку тріски літають (дзвін)."
,"Прийшов чернець, положив яйця в углець: нехай киплять, поки прийду оплять (дзвін).","Прийшов чернець, поклав яйця в куточок: нехай киплять, поки прийду знову (дзвін)."
,Меже двома горами бьюцця барани золотими рогами (дзвін).,Між двома горами б'ються барани золотими рогами (дзвін).
,"Сім миль мосту, на восьмій стоїть явор -- на весь світ славен (Великий піст и Великдень).","Сім миль мосту, на восьмій стоїть явор -- на весь світ славен (Великий піст і Великдень)."
,А без чого світ не буде? (без землі).,А без чого світ не буде? (без землі).
,"Куди воно? додому; відкіль? з дому; чого? само не зна, от так! (сонце).","Куди воно? додому; відкіль? з дому; чого? само не зна, от так! (сонце)."
,"Стоїть дерево серед села, а в каждій хатці по гілляцці (дорога).","Стоїть дерево серед села, а в кожній хатці по гілочці (дорога)."
,"По соломі ходе, та не шелестить (тінь).","По соломі ходить, та не шелестить (тінь)."
20,Серед моря-мори стоїть червона комора (сонце).,Серед моря-моря стоїть червона комора (сонце).
,"За лісом, за пролісом червоне плаття (сонце).","За лісом, за пролісом червоне плаття (сонце)."
,"За лісом, за перелісом золота діжа горить (місяць).","За лісом, за перелісом золота діжа горить (місяць)."
,"Серед двора-двора, лежить червона сковорода (місяць).","Серед двора-двора, лежить червона сковорода (місяць)."
,"Їде лісом -- не шелестить, їде водою -- не плюскотить (тінь).","Їде лісом -- не шелестить, їде водою -- не плюскотить (тінь)."
,Лисий віл через ворота дивицця (місяць).,Лисий віл через ворота дивиться (місяць).
,Прийшов бик та в ворота -- мик (місяць).,Прийшов бик та в ворота -- мик (місяць).
,Лисий віл через болото рів (місяць).,Лисий віл через болото рив (місяць).
,"Поле не зміряне, бидло не злічено, пастух рогатий (небо, зорі, місяць).","Поле не зміряне, худоба не злічена, пастух рогатий (небо, зорі, місяць)."
,"Розстелю рогожку, посиплю горошку і положу лустку хліба (зорі).","Розстелю рогожку, посиплю горошку і покладу скибку хліба (зорі)."
30,"Цап, цап по полю басує, з цапенятами гарцює, поти будо гарцювати, поки вовк не стано спати (місяць й зорі).","Цап, цап по полю басує, з цапенятами гарцює, поти буде гарцювати, поки вовк не стане спати (місяць й зорі)."
,"Їхав Яшка Семеришка, за ним бджоли гу-лю-лю! (місяць та зорі).","Їхав Яшка Семеришка, за ним бджоли гу-лю-лю! (місяць та зорі)."
,"Приїхав гість та й став на поміст, роспустив коні по всій оболоні (зорі).","Приїхав гість та й став на поміст, розпустив коні по всій оболоні (зорі)."
,"Їхав по горі Волох, розсипав по горі горох; стало світати, нема що збірати (зорі).","Їхав по горі Волох, розсипав по горі горох; стало світати, нема що збирати (зорі)."
,"Старий брох, розсипав горох, не вмів позбірати, та став дня чекати; як день дочекав, горох позбірав (зорі).","Старий брох, розсипав горох, не вмів позбирати, та став дня чекати; як день дочекав, горох позбирав (зорі)."
,Вийшли Німці на наші сінці: вузлики знать та не можна розвьязать (зорі).,Вийшли Німці на наші сінці: вузлики знать та не можна розв'язать (зорі).
,"У білому полі попутані коні, узлики знати: не можна розвьязати (зорі).","У білому полі попутані коні, вузлики знати: не можна розв'язати (зорі)."
,Приїхали комисари увесь світ обписали (зорі).,Приїхали комісари увесь світ обписали (зорі).
,"Їхав чумак та й став, бо волів потеряв (хмари закрили зорі).","Їхав чумак та й став, бо волів потеряв (хмари закрили зорі)."
40,Чорненьке маленьке весь світ поваляє (піч).,Чорненьке маленьке весь світ поваляє (піч).
,Чорне сукно лізе в вікно (ніч).,Чорне сукно лізе у вікно (ніч).
,Сірий бик у вікно -- мик (світ світає).,Сірий бик у вікно -- мик (світ світає).
,Лисий віл усіх людей звів (день).,Лисий віл усіх людей звів (день).
,"Чорна корова усіх людей поборола, а біла корова усіх людей позводила (ніч та день).","Чорна корова усіх людей поборола, а біла корова усіх людей позводила (ніч та день)."
,Що без рук стучить? (грім).,Що без рук стукить? (грім).
,"Ревнув віл на сто гір, на тисячу городів (грім).","Ревнув віл на сто гір, на тисячу городів (грім)."
50,"Шило-мотовило попід небесами ходило, із панами говорило, із князями розмовляло (блискавка).","Шило-мотовило попід небесами ходило, із панами говорило, із князями розмовляло (блискавка)."
,"Як був маленьким -- у кутку сидів, а виріс -- пішов косити (серп і місяць).","Як був маленьким -- у кутку сидів, а виріс -- пішов косити (серп і місяць)."
,"Сидить півень на вербі, спустив китиці до землі (дощ і сонце).","Сидить півень на вербі, спустив китиці до землі (дощ і сонце)."
,"Зорі-зоряниня по деркві ходила, ключі загубила; місяць зійшов, ключі найшов (роса).","Зорі-зоряниця по церкві ходила, ключі загубила; місяць зійшов, ключі знайшов (роса)."
,Сиві кабани усе поле-поле залягли (туман).,Сиві кабани усе поле-поле залягли (туман).
,"Летить птиця без крил, без ніг; зварив кухар без огню, иззіла пані без рота (сніг).","Летить птиця без крил, без ніг; зварив кухар без огню, з'їла пані без рота (сніг)."
,Сивий віл випив води повен двір (мороз).,Сивий віл випив води повен двір (мороз).
,"Прийшов хтось, та взяв щось: бігти за ним, та не знаєм за ким (вітер).","Прийшов хтось, та взяв щось: бігти за ним, та не знаємо за ким (вітер)."
,"Летів птах на дванадцяти ногах, та одно яйце зніс (рік з 12 місяцями).","Летів птах на дванадцяти ногах, та одне яйце зніс (рік з 12 місяцями)."
,"Дуб-дуб довговік, на ньому 12 гиллів, на кожній гіллі по 4 гнізді, а у кожному гнізді по 7 яєць і кожному ім'я є (рік).","Дуб-дуб довговік, на ньому 12 гілок, на кожній гілці по 4 гнізді, а у кожному гнізді по 7 яєць і кожному ім'я є (рік)."
60,"Триста галок, та пьятдесят чабк, та пьятнадцять орлів одно яйце знесли (рік).","Триста галок, та п'ятдесят чабків, та п'ятнадцять орлів одне яйце знесли (рік)."
,"Двічі родицця, а раз поміра (птах).","Двічі родиться, а раз помирає (птах)."
,"Живу, а не роджуся, і трояково годжуся (птах -- яйце, м'ясо, пір'я).","Живу, а не народжуюся, і трояково гожуся (птах -- яйце, м'ясо, пір'я)."
,"Летів птах, на воду бах; води не змутив, сам не полетів (перина).","Летів птах, на воду бах; води не змутив, сам не полетів (перина)."
,Біла куриця з під печі дивицця (яйце).,Біла куриця з-під печі дивиться (яйце).
,"В однім барилі дві пиві, а барило без дна і без чопа (яйце).","В однім барилі двоє напоїв, а барило без дна і без чопа (яйце)."
,"Котилось барильце -- без чопця, без рильця (яйце).","Котилось барильце -- без чопця, без рильця (яйце)."
,"Без воронки, без дна, повна бочка вина (яйце).","Без воронки, без дна, повна бочка вина (яйце)."
,"Діжечка-макотірочка -- нема ні денця, ні задірочки (яйце).","Діжечка-макотірочка -- нема ні денця, ні задірочки (яйце)."
,"Пуд води, пуд іди, пуд солі: їстиметь і присолювати будеть (яйце).","Пуд води, пуд їжі, пуд солі: їстиме і присолювати буде (яйце)."
70,"Впала боденька з гори -- нема такого майстра, щоб її направив (яйце).","Впала боденька з гори -- нема такого майстра, щоб її направив (яйце)."
,"Поле лубьяне, само костяне, вийде живе (короб, яйця, курчята).","Поле лубʼяне, само кістяне, вийде живе (короб, яйця, курчята)."
,"Родився -- не крестився, у лазні не парився, на весь світ прославився (півень).","Народився -- не хрестився, у лазні не парився, на весь світ прославився (півень)."
,Сидить дід над водою з червоною бородою (калина).,Сидить дід над водою з червоною бородою (калина).
,"Пішла панна до міста, на ній суконь триста (курка).","Пішла панна до міста, на ній суконь триста (курка)."
,"У вдовиної дочки сімсот сорочок; як повіне вітер, так і тіло знать (цибуля).","У вдовиної дочки сімсот сорочок; як повіне вітер, так і тіло знать (цибуля)."
,"Ой за лісом, за пролісом талалай кричить (гусак).","Ой за лісом, за пролісом талалай кричить (гусак)."
,"Біле, як сніг; надуте, як міх; лопатами ходить, а рогом їсть (гуска).","Біле, як сніг; надуте, як міх; лопатами ходить, а рогом їсть (гуска)."
80,"Сидить баба на кію, дожидає сина-сивирина із Білай-города (гуска на яйцях).","Сидить баба на ціпку, дожидає сина-сивиря із Білого-города (гуска на яйцях)."
,"Сидить півень серед моря, кричить какаріку! (селезень).","Сидить півень серед моря, кричить кукуріку! (селезень)."
,А що плава сіреньке по морю? (утка).,А що пливе сіреньке по морю? (утка).
,"Єбива затка, чорна латка, на березі скаче (ворона).","Жива затка, чорна латка, на березі скаче (ворона)."
,"Чорне -- як крук, біле -- як сніг, просте -- як стріла, криве -- як коса (сорока).","Чорне -- як крук, біле -- як сніг, просте -- як стріла, криве -- як коса (сорока)."
,"Дорога розлога, на дубі ярмарок (граки на дереві).","Дорога розлога, на дубі ярмарок (граки на дереві)."
,Чорне мотивило попід небо ся вило (ластівка).,Чорне мотовило попід небо ся вило (ластівка).
,Сто літ наче живе -- що таке? (горобець).,Сто літ наче живе -- що таке? (горобець).
,"Тарасова дочка Тарасом трясла, 700 сорочок на собі несла (риба).","Тарасова дочка Тарасом трясла, 700 сорочок на собі несла (риба)."
90,"Їхала пані в срібному жупані; як уїхала в сад, не вернулась назад (риба, волок).","Їхала пані в срібному жупані; як уїхала в сад, не вернулась назад (риба, волок)."
,"Приїхали гості, закинули гармати: дім крізь ворота втече, а гість хазяїна за ним виволоче (ловить рибу).","Приїхали гості, закинули гармати: дім крізь ворота втече, а гість хазяїна за ним виволоче (ловить рибу)."
,"Кинув не палицю, убив не галицю, скублю не пера, їм не м'ясо (риба).","Кинув не палицю, убив не галицю, скублю не пір'я, їм не м'ясо (риба)."
,"Ні голий, ні в сороцці (ятір).","Ні голий, ні в сорочці (ятір)."
,"Хата -- не хата, вікон багато: єсть куди влізти, та нікуди вилізти (ятір).","Хата -- не хата, вікон багато: є куди влізти, та нікуди вилізти (ятір)."
,"Живе чорне, умре красне (рак).","Живе чорне, умре красне (рак)."
,"Без крові, без серця, по столу несенця (рак).","Без крові, без серця, по столу несеться (рак)."
,Чорну гадюку візьму я в руку -- вона не вкусить (вуж).,Чорну гадюку візьму я в руку -- вона не вкусить (вуж).
,"Безкосте, безребре, хоч яке море перепливе (п'явка).","Безкосте, безребре, хоч яке море перепливе (п'явка)."
,Бугай безкостий перепливе Дунай безмостий (п'явка).,Бугай безкостий перепливе Дунай безмостий (п'явка).
100,"Безкостий Марко, перепливе море шпарко (п'явка).","Безкостий Марко, перепливе море шпарко (п'явка)."
,Чорна куриця під тином кублинця (гадюка).,Чорна куриця під тином кублиться (гадюка).
,Серед лісу-лісу лежить прут заліза (гадюка).,Серед лісу-лісу лежить прут заліза (гадюка).
,"Ні взяти, ні пьяти, ні на віз положити (вуж).","Ні взяти, ні пняти, ні на віз покласти (вуж)."
,"Без рук, без ніг, черевате, пузате, на кишки багате, одним хвостиком вправляє (ополоник водяний).","Без рук, без ніг, черевате, пузате, на кишки багате, одним хвостиком вправляє (ополоник водяний)."
,Ситий кусок під тином скаче (жаба).,Ситий кусок під тином скаче (жаба).
,Маленьке-чорненько по полю скаче (ящірка).,Маленьке-чорненьке по полю скаче (ящірка).
,"Штири тики, два патики, семе замахайло (рогата худобина -- ноги, роги, хвіст).","Чотири тики, два патики, сьоме замахайло (рогата худобина -- ноги, роги, хвіст)."
,"Як був мал -- у чотирі дудки грав, а як підріс -- гори й долини підніс (віл).","Як був малий -- у чотири дудки грав, а як підріс -- гори й долини підніс (віл)."
10,"Два костюки, два лопухи, чотири ходори, девьятий Матвій (корова з двома рогами, двома вухами, чотирма ногами, хвостом).","Два кістюки, два лопухи, чотири ходори, дев'ятий Матвій (корова з двома рогами, двома вухами, чотирма ногами, хвостом)."
,"Чотирі чотирнички, пьята шинкарочка, шоста підставочка (корова, вим'я і дійниця).","Чотири чотирнички, п'ята шинкарочка, шоста підставочка (корова, вим'я і дійниця)."
,Чотирі панночки в одну дучку ллюють (корова).,Чотири панночки в одну діжку ллють (корова).
,"Чотирі браття стріляють до одного пня, а не можуть вистрелити (корова).","Чотири браття стріляють до одного пня, а не можуть вистрелити (корова)."
,Хто плаче без голосу? (кінь).,Хто плаче без голосу? (кінь).
,"Сімсот свище, чотирі плеще, два чує, два бачить (хвіст, копита, вуха, очі).","Сімсот свище, чотири плеще, два чує, два бачить (хвіст, копита, вуха, очі)."
,"Родився не хрестився, а був христоносець (осел).","Народився не хрестився, а був христоносець (осел)."
,"За горою, за крутою вовки шкуру мнуть (свиню поросята ссуть).","За горою, за крутою вовки шкуру мнуть (свиню поросята ссуть)."
,Лежить під хворостом та й крутить хвостом (кабан).,Лежить під хворостом та й крутить хвостом (кабан).
120,"Виса висить, хода ходить, виса впала, хода ззіла (свиня та яблуко).","Виса висить, хода ходить, виса впала, хода з'їла (свиня та яблуко)."
,"Йде попита коло плота, питасцця шелепеті, чи є понура вдома (вовк, собака, свиня).","Іде попита коло плота, питається шелепеті, чи є понура вдома (вовк, собака, свиня)."
,"Прибігли штрики-брики, ухватили далду-балду; почули меякиники, казали гречаникам: «сідайте на вівсяники, доганяйте штрики-брики, віднімайте далду-балду» (вовки, свиня, собаки, люде, коні).","Прибігли штрики-брики, схопили далду-балду; почули мекотники, сказали гречаникам: «сідайте на вівсяники, доганяйте штрики-брики, відніміть далду-балду» (вовки, свиня, собаки, люди, коні)."
,"Скунда скаче, ринда риє (свиня і сорока).","Скунда скаче, ринда риє (свиня і сорока)."
,Прийшли бари та забрали дари (вовки овець).,Прийшли бари та забрали дари (вовки овець).
,"Бігла Уршулька через Гриньків двір, питалась Гринька, чи є Йлько дома (загадка).","Бігла Уршулька через Гриньків двір, питалась Гринька, чи є Йлько вдома (загадка)."
,"Бігла чечітка поуз наші ворітка, питаєцця співака: чи дома ваш ченчик? (загадка).","Бігла чечітка попри наші ворітка, питається співака: чи вдома ваш ченчик? (загадка)."
,Питалась швидка освірка: чи є хапко дома? (миша та кіт).,Питалась швидка освірка: чи є хапко вдома? (миша та кіт).
130,"Їхала пані вкрай города, питалася в дзунзара: чи дома порубай? (миша, жук, кіт).","Їхала пані вкрай города, питалася в дзунзара: чи вдома порубай? (миша, жук, кіт)."
,"Біг пес через панський онес, доганяйте пса, щоб не поколотив овса (собака і миш).","Біг пес через панський онус, доганяйте пса, щоб не поколотив овса (собака і миша)."
,"Летів птах через Божий дах: «тут моє діло на огні згоріло» (бджола, церква, віск).","Летів птах через Божий дах: «тут моє діло на огні згоріло» (бджола, церква, віск)."
,"Летіла тетера, не вчора тепера; упала в лободу, шукаю не знайду (бджола).","Летіла тетера, не вчора тепера; упала в лободу, шукаю не знайду (бджола)."
,Лізу-лізу по білім залізу -- царськії собаки ззіли (бджола).,Лізу-лізу по білому залізу -- царські собаки з'їли (бджола).
,Сімсот соловьят на одній подушці сидять (гніздо).,Сімсот солов'ят на одній подушці сидять (гніздо).
,"Сіреньке літа, сіренько гуде, а жовтеньке носить (бджола і бджілля).","Сіреньке літа, сіренько гуде, а жовтеньке носить (бджола і бджілля)."
,"З примудрої птиці печені не зпечеш, а з примудрого цвіту вінка не зпдетеш (бджола, житній цвіт).","З примудрої птиці печені не спечеш, а з примудрого цвіту вінка не сплетеш (бджола, житній цвіт)."
,"Піду я до гетьмана; нападуть на мене гетьманови собаки -- а ні одбицьця, ні одмолицьця, піти в річку та й втопицьця (рій).","Піду я до гетьмана; нападуть на мене гетьманові собаки -- а ні відбитися, ні відмолитися, піти в річку та й втопитися (рій)."
,"Коло вуха заверуха, а в вусі ярмарок (вулик).","Коло вуха заверуха, а у вусі ярмарок (вулик)."
140,"Шопен пень черешень, та нікуди вибрать (вулик).","Шопен пень черешень, та нікуди вибрати (вулик)."
,"В піч положу -- мокне, на воду положу -- сохне (віск).","В піч покладу -- мокне, на воду покладу -- сохне (віск)."
,"На огні вмре, на воді оживе (віск).","На огні вмре, на воді оживе (віск)."
,"Летить -- виє, сяде -- риє (жук).","Летить -- виє, сяде -- риє (жук)."
,Тисяча тисяч бондарів роблять хату без углів (мурашки).,Тисяча тисяч бондарів роблять хату без кутів (мурашки).
,"Сидить дівка в темниці, шиє чіпець без пиці (павук).","Сидить дівка в темниці, шиє чіпець без спиці (павук)."
,"Хто мене вбьє, свою кров проллє (комар).","Хто мене вб'є, свою кров проллє (комар)."
,Чорненьке маленьке хоч яку колоду переверне (блоха).,Чорненьке маленьке хоч яку колоду переверне (блоха).
150,"Летів птах з шістьма ногами, сів собі на вербі і просив Бога: «давись мені, Боже, власть на панів и на Жидів, на королів и на царів, -- дай же мені й над тим, що в воді!» (комар).","Летів птах з шістьма ногами, сів собі на вербі і просив Бога: «дай мені, Боже, владу на панів і на жидів, на королів і на царів, -- дай же мені й над тим, що у воді!» (комар)."
,"Повна хата тетерят, та нікуди й не летять (сучки в дереві, лавах, столах).","Повна хата тетерят, та нікуди й не летять (сучки в дереві, лавах, столах)."
,"У лісі росте, з лісом рівняєцця, світа не бачить (осердок в дереві).","У лісі росте, з лісом рівняється, світа не бачить (осердок у дереві)."
,"Біла-білява перед Богом стояла: «Боже мій милий! моє тіло рубають, мою кров пьють» (береза).","Біла-білява перед Богом стояла: «Боже мій милий! моє тіло рубають, мою кров п'ють» (береза)."
,"А що вище в лісі? (колок -- в тину, в лісі).","А що вище в лісі? (колок -- у тину, у лісі)."
,"Виросло в лісі деревце -- ні на п'ядь, ні на щиколоток: з нього два столики, два човники і чашечка воду пити (жолудь).","Виросло в лісі деревце -- ні на п'ядь, ні на щиколоток: з нього два столики, два човники і чашечка воду пити (жолудь)."
,В однім гнізді та чотирі звізді (горіх).,В однім гнізді та чотири зірки (горіх).
,В маленькім горщичку кашка смачна (горіх).,В маленькому горщичку кашка смачна (горіх).
,"Дід бабу цагнув, вовнячку продув, солоденьке викусив (горіх).","Дід бабу штурхнув, вовнячку продув, солоденьке викусив (горіх)."
,"Із дерева виросло, а з кишені вилізло (горіх).","З дерева виросло, а з кишені вилізло (горіх)."
160,"Серед ліса-ліса, висить красна ягода (калина).","Серед лісу-лісу, висить красна ягода (калина)."
,"Не три ж ти мене, не мни ж ти мене; злізь на мене та й накепкайся (вишня).","Не три ж ти мене, не мни ж ти мене; злізь на мене та й накушайся (вишня)."
,"Камінне серце, а винний смак -- чому то так? (вишнева ягода).","Кам'яне серце, а винний смак -- чому то так? (вишнева ягода)."
,"Стоїть панна на пагурку в червонім капурку -- хто йде, то поклониться (полуниця, суниця).","Стоїть панна на пагурку в червоному капурку -- хто йде, то поклониться (полуниця, суниця)."
,"Чорна росколина, беруть хлопці з кочина (гречка).","Чорна розколина, беруть хлопці з кочина (гречка)."
,"Пири-пири -- не роспирецця, пусти на воду -- то й роспливецця (полова).","Пири-пири -- не розпирається, пусти на воду -- то й розпливається (полова)."
,"Заріжем вола: голову одріжем і ззіємо, шкуру обдерем -- продамо, а м'ясо валяєцця -- і собаки не їдять (коноплі).","Заріжем вола: голову відріжем і з'їмо, шкуру здеремо -- продамо, а м'ясо валяється -- і собаки не їдять (коноплі)."
,"Їхав пан копитан, став, дівчини попитав: «що за кости лежять, що собаки не їдять?» (костриця).","Їхав пан капітан, став, дівчини попитав: «що за кості лежать, що собаки не їдять?» (костриця)."
,"Без вікон, без дверей, повна хата людей (гарбуз).","Без вікон, без дверей, повна хата людей (гарбуз)."
,"Мій брат Кіндрат через землю прийшов, мішок грошей найшов (гарбуз).","Мій брат Кіндрат через землю прийшов, мішок грошей знайшов (гарбуз)."
170,"Жила птичка пустодом, звила гніздо за двором (гарбуз).","Жила птичка пустодом, звила гніздо за двором (гарбуз)."
,"Під піччю галгази, а хто зна -- не кажи (гарбуз).","Під піччю галгази, а хто зна -- не кажи (гарбуз)."
,Старець старця тягне через ліса (загадка).,Старець старця тягне через ліс (загадка).
,"Ліз Мартин через тин, на тім боці па -- старої забувся (загадка).","Ліз Мартин через тин, на тім боці па -- старої забувся (загадка)."
,"Без рук, без ніг, та на тин лізе (хміль).","Без рук, без ніг, та на тин лізе (хміль)."
,У нашого Данила сім саженей жил (гарбузовий огуд).,У нашого Данила сім саженів жил (гарбузовий огуд).
,"Красно, гарно в землю вросло (буряк).","Красно, гарно в землю вросло (буряк)."
,"Баран у хліві, а роги на дворі (загадка).","Баран у хліві, а роги на дворі (загадка)."
,"Ходить панич по долині в червоній жупанині, та все каже -- гопки! (загадка).","Ходить панич по долині в червоній жупанині, та все каже -- гопки! (загадка)."
,"На городі з бураками, накрившися лопушками, просить хліба, солі (редька).","На городі з бураками, накрившись лопушками, просить хліба, солі (редька)."
180,Біла куриця під тином кублицця (загадка).,Біла куриця під тином кублиться (загадка).
,Жовтенька куриця під тином кублицця (морква).,Жовтенька куриця під тином кублиться (морква).
